File (Raw)	Size (Bytes)	Size (bits)	X2	X2 (bits)	Serial Correlation	Serial Correlation (bits)	HTCC	P value	HTCC (bits)	P value (bits)
USB64	2100000000	16800000000	474.270277	36.881445	5.32E-06	9.95E-05	0.243718728	<0.9	12.89675986	>0.999
USB65	2100000000	16800000000	431.35576	45.978189	-3.08E-06	8.03E-05	0.141141067	<0.9	10.41391789	>0.999
USB66	2100000000	16800000000	455.464999	35.93255	1.52E-06	8.79E-05	0.069612527	<0.9	11.39539556	>0.999
USB67	2100000000	16800000000	475.132689	62.430599	1.75E-06	8.78E-05	0.080324474	<0.9	11.37377384	>0.999
USB68	2100000000	16800000000	464.711755	40.176044	1.89E-05	9.87E-05	0.867102851	<0.9	12.7866853	>0.999
USB69	2100000000	16800000000	441.235972	45.613342	2.88E-05	9.47E-05	1.319082861	>0.9 <0.95	12.27231942	>0.999
USB70	2100000000	16800000000	496.038825	42.446179	2.52E-05	9.22E-05	1.152849036	<0.9	11.94623914	>0.999
USB71	2100000000	16800000000	443.315534	56.65286	1.25E-05	9.40E-05	0.573510621	<0.9	12.18202851	>0.999
USB72	2100000000	16800000000	458.629123	43.40394	3.51E-05	0.000102171	1.607593465	>0.9 <0.95	13.24284283	>0.999
USB73	2100000000	16800000000	445.59447	36.906	-3.13E-05	8.24E-05	1.434905061	>0.9 <0.95	10.6792662	>0.999
USB74	2100000000	16800000000	503.035079	64.243102	1.24E-05	9.12E-05	0.568079706	<0.9	11.81590068	>0.999
USB75	2100000000	16800000000	455.469776	45.983211	1.41E-05	9.59E-05	0.646880915	<0.9	12.4270211	>0.999
USB76	2100000000	16800000000	410.060498	26.547594	8.70E-07	9.28E-05	0.039865433	<0.9	12.02206302	>0.999
USB77	2100000000	16800000000	487.172161	78.538807	3.67E-05	9.30E-05	1.682372022	>0.95 <0.975	12.05514576	>0.999
USB78	2100000000	16800000000	399.180037	30.509613	-5.93E-06	7.95E-05	0.27170938	<0.9	10.30664209	>0.999
USB79	2100000000	16800000000	509.566823	43.209383	2.41E-05	9.91E-05	1.102655082	<0.9	12.85109898	>0.999
USB80	2100000000	16800000000	409.0254	35.185963	2.76E-05	8.61E-05	1.264395152	>0.9 <0.95	11.15422519	>0.999
USB81	2100000000	16800000000	466.929684	33.25147	2.83E-05	9.38E-05	1.294664473	>0.9 <0.95	12.15819944	>0.999
USB82	2100000000	16800000000	447.523845	32.602639	1.81E-06	9.27E-05	0.082900143	<0.9	12.00994978	>0.999
USB83	2100000000	16800000000	461.097656	45.21591	1.26E-06	9.93E-05	0.057912929	<0.9	12.87098863	>0.999
USB84	2100000000	16800000000	486.674171	42.696665	-4.09E-05	9.04E-05	1.872224534	>0.95 <0.975	11.71654124	>0.999
USB85	2100000000	16800000000	444.986826	67.698373	-2.87E-06	7.80E-05	0.131584769	<0.9	10.1040635	>0.999
USB86	2100000000	16800000000	476.970515	56.774409	-1.51E-05	9.26E-05	0.692616653	<0.9	12.00556626	>0.999
USB87	2100000000	16800000000	455.581301	59.458113	2.51E-05	8.73E-05	1.150685654	<0.9	11.31352588	>0.999
USB88	2100000000	16800000000	512.368754	56.171436	-2.71E-05	0.000103865	1.240264169	<0.9	13.46241059	>0.999
USB89	2100000000	16800000000	474.344008	49.04865	6.79E-05	8.79E-05	3.112430913	>0.999	11.38964688	>0.999
USB90	2100000000	16800000000	448.069168	45.536049	-8.12E-06	8.67E-05	0.372008913	<0.9	11.23552493	>0.999
USB91	2100000000	16800000000	434.817442	57.197237	3.41E-05	8.66E-05	1.563923752	>0.9 <0.95	11.22074529	>0.999
USB92	2100000000	16800000000	479.88999	53.203511	1.75E-05	0.000100453	0.801597967	<0.9	13.02013835	>0.999
USB93	2100000000	16800000000	422.768221	43.336872	4.74E-06	8.46E-05	0.217386009	<0.9	10.96674545	>0.999
USB94	2100000000	16800000000	446.404792	52.995272	-2.51E-06	8.39E-05	0.114932847	<0.9	10.87075598	>0.999
USB95	2100000000	16800000000	405.864924	26.136257	-1.76E-06	8.61E-05	0.080667332	<0.9	11.16577517	>0.999
USB96	2100000000	16800000000	458.103659	49.310518	-3.56E-06	7.93E-05	0.163215252	<0.9	10.27640789	>0.999
USB97	2100000000	16800000000	525.114363	57.572451	5.79E-06	0.000107701	0.265493401	<0.9	13.95965776	>0.999
USB98	2100000000	16800000000	480.098136	60.748858	-1.90E-06	9.03E-05	0.087250663	<0.9	11.70609451	>0.999
USB99	2100000000	16800000000	456.991454	47.494847	1.86E-05	7.89E-05	0.853590739	<0.9	10.22698311	>0.999
USB100	2100000000	16800000000	480.267801	48.202929	-5.93E-06	9.39E-05	0.271787582	<0.9	12.17157021	>0.999
