0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,,,Expected Occurrence,ExpFrac
1,17179869184,8,2252.185138,127.492572,3.14165,1.58E-05,2.065437945,,67108864,0.00390625
2,Value,Occurrences,Fraction,Bias,Rel_Bias,NumSTDev,RMSE,Population Stdev,,
3,0,67200658,0.003911593,5.34311E-06,91794,3.777828947,8426138436,24298.08265,,
3,1,67165155,0.003909527,3.27657E-06,56291,2.316684851,3168676681,,,
3,2,67148087,0.003908533,2.28308E-06,39223,1.614242595,1538443729,Biases Abv STDev,,
3,3,67151595,0.003908737,2.48727E-06,42731,1.758616127,1825938361,81,31.64%,
3,4,67155134,0.003908943,2.69327E-06,46270,1.904265479,2140912900,Biases Abv 2STDev,,
3,5,67138450,0.003907972,1.72213E-06,29586,1.217626939,875331396,13,5.08%,
3,6,67148575,0.003908561,2.31148E-06,39711,1.634326484,1576963521,,,
3,7,67163310,0.003909419,3.16917E-06,54446,2.240752934,2964366916,,,
3,8,67166905,0.003909628,3.37843E-06,58041,2.388706995,3368757681,,,
3,9,67121743,0.003907,7.49656E-07,12879,0.530041822,165868641,,,
3,10,67114298,0.003906566,3.163E-07,5434,0.223639045,29528356,,,
3,11,67134097,0.003907719,1.46875E-06,25233,1.038477001,636704289,,,
3,12,67151506,0.003908732,2.48209E-06,42642,1.754953286,1818340164,,,
3,13,67124401,0.003907154,9.04372E-07,15537,0.639433169,241398369,,,
3,14,67128600,0.003907399,1.14879E-06,19736,0.812245159,389509696,,,
3,15,67141843,0.00390817,1.91963E-06,32979,1.357267586,1087614441,,,
3,16,67158522,0.00390914,2.89048E-06,49658,2.043700349,2465916964,,,
3,17,67145477,0.003908381,2.13116E-06,36613,1.506826712,1340511769,,,
3,18,67112102,0.003906438,1.88476E-07,3238,0.133261544,10484644,,,
3,19,67115503,0.003906636,3.86441E-07,6639,0.273231435,44076321,,,
3,20,67122371,0.003907036,7.86211E-07,13507,0.555887483,182439049,,,
3,21,67090580,0.003905186,-1.06427E-06,-18284,-0.752487357,334304656,,,
3,22,67120099,0.003906904,6.53963E-07,11235,0.462382162,126225225,,,
3,23,67106851,0.003906133,-1.17172E-07,-2013,-0.082846043,4052169,,,
3,24,67144374,0.003908317,2.06695E-06,35510,1.461432184,1260960100,,,
3,25,67130728,0.003907523,1.27265E-06,21864,0.899824085,478034496,,,
3,26,67110902,0.003906369,1.18627E-07,2038,0.083874931,4153444,,,
3,27,67118026,0.003906783,5.33299E-07,9162,0.377066789,83942244,,,
3,28,67121968,0.003907013,7.62753E-07,13104,0.539301812,171714816,,,
3,29,67105526,0.003906056,-1.94297E-07,-3338,-0.137377095,11142244,,,
3,30,67127525,0.003907336,1.08621E-06,18661,0.768002985,348232921,,,
